Campaign,Topic,Month,Year,Responses,Targets,Effectiveness
Laser Hair Removal - B,Removal - B,January,2015,0,877,0
Vampire Facelift,Vampire Facelifts,January,2015,22,7807,2.82
Bellafill-2-13-15,,January,2015,4,1374,2.91
i-Lipo-1,i-Lipo,January,2015,1,5164,0.19
Coolsculpting,CoolSculpting,January,2016,21,3574,5.88
The Gifts Keep Coming!,UltraShape,January,2016,37,12581,2.94
January Specials,Microdermabrasion,January,2016,13,4980,2.61
January Specials,,January,2016,12,5290,2.27
January Specials,Medical Weight Loss,January,2016,9,4694,1.92
Feliz Año Nuevo,Feliz Año Nuevo,January,2016,0,31,0
CoolSculpting,CoolSculpting,January,2016,87,16088,5.41
Happy New You,UltraShape,January,2016,27,5315,5.08
Revepeel,Chemical Peel,January,2016,3,1097,2.73
Introducing Bellafill,Bellafill,January,2016,7,2619,2.67
Upcoming Events,Obagi,January,2016,4,2210,1.81
"New Year, New You!",Vampire Facelifts,January,2016,2,1365,1.47
Introducing Eclipse Micro-Needling,Micro-Needling,January,2016,32,29764,1.08
Weight Loss,Medical Weight Loss,January,2016,25,23311,1.07
New Service at Peach Skin Clinic: IPL,IPL Therapy,January,2016,30,3081,9.74
Botox Special,Botox,January,2016,18,4982,3.61
Bellafill,Bellafill,January,2016,11,3949,2.79
CoolSculpting BOGO,CoolSculpting,January,2016,1,501,2
Detox Education Event,Event,January,2016,1,654,1.53
New Year Special,Zerona,January,2016,11,9303,1.18
January Specials,Micro-Needling,January,2016,5,6886,0.73
Isolaz,,January,2016,15,25843,0.58
Ultherapy,Ultherapy,January,2016,1,3524,0.28
Gift Certificates,Event,January,2016,0,3540,0
VI Peel Special,Chemical Peel,January,2016,10,606,16.5
Collagen Induction Therapy,Micro-Needling,January,2016,50,10912,4.58
Happy New You with ThermiVa,ThermiVa,January,2016,4,1793,2.23
Lashes & Iced Lattes,Latisse,January,2016,3,2975,1.01
Tattoo Removal,Tattoo Removal,January,2016,3,19082,0.16
Happy New Year!,,January,2016,13,1847,7.04
Lipo-Ex,Lipo-Ex,January,2016,24,4112,5.84
Inmode,Event,January,2016,14,2852,4.91
Skincare Special,Chemical Peel,January,2016,4,1230,3.25
Save $100 on XEOMIN,Botox,January,2016,29,4472,6.48
January Specials,Event,January,2016,24,5423,4.43
Extended Office Hours,Event,January,2016,5,1930,2.59
Our Open House,Vampire Facelifts,January,2016,2,2164,0.92
Non-Invasive Vaginal Rejuvenation,ThermiVa,January,2016,9,14439,0.62
Look Worry-Free in 2016!,Botox,January,2016,27,1974,13.68
Exilis,Exilis Body Sculpting,January,2016,11,1394,7.89
PicoWay Resolve,,January,2016,12,2396,5.01
